state_name,district_name,cattle,buffalo,bovines_total,species_richness,avg_herd_per_record,bov_norm,herd_norm,rich_norm,priority_score,rank,cluster,segment
Gujarat,BANAS KANTHA,1390357,1501537,2891894,8,2891894,0.9999999999999999,0.9999999999999999,0.75,0.9749999999999999,1,0,Segment_1
Rajasthan,Jaipur,691457,1214213,1905670,10,1905670,0.65894463535595,0.65894463535595,1.0,0.693050171820355,2,0,Segment_1
West Bengal,Medinipur West,1758443,37649,1796092,8,1796092,0.621050440176188,0.621050440176188,0.75,0.6339453961585693,3,0,Segment_1
Maharashtra,Ahmednagar,1378303,221355,1599658,10,1599658,0.5531197575944528,0.5531197575944528,1.0,0.5978077818350074,4,0,Segment_1
West Bengal,Bankura,1491831,64427,1556258,9,1556258,0.538111196835891,0.538111196835891,0.875,0.571800077152302,5,0,Segment_1
West Bengal,Bardhaman,1532669,58942,1591611,8,1591611,0.5503369491054171,0.5503369491054171,0.75,0.5703032541948754,6,0,Segment_1
Rajasthan,Bikaner,1194729,208251,1402980,10,1402980,0.4851046950858721,0.4851046950858721,1.0,0.5365942255772849,7,0,Segment_1
Karnataka,Belgaum,549540,844171,1393711,10,1393711,0.48189929532386505,0.48189929532386505,1.0,0.5337093657914785,8,0,Segment_1
Rajasthan,Udaipur,831496,597128,1428624,9,1428624,0.4939728870695716,0.4939728870695716,0.875,0.5320755983626144,9,0,Segment_1
Uttar Pradesh,Budaun,279790,1107170,1386960,10,1386960,0.47956466874135234,0.47956466874135234,1.0,0.531608201867217,10,0,Segment_1
Rajasthan,Jodhpur,1069027,317852,1386879,10,1386879,0.4795366573721947,0.4795366573721947,1.0,0.5315829916349752,11,0,Segment_1
Rajasthan,Alwar,241856,1144753,1386609,10,1386609,0.47944328614166903,0.47944328614166903,1.0,0.5314989575275021,12,0,Segment_1
Uttar Pradesh,Allahabad,560456,817058,1377514,10,1377514,0.47629805895044514,0.47629805895044514,1.0,0.5286682530554005,13,0,Segment_1
Uttar Pradesh,Agra,282788,1066798,1349586,10,1349586,0.46664001552037343,0.46664001552037343,1.0,0.519976013968336,14,0,Segment_1
Uttar Pradesh,Bulandshahr,304321,972027,1276348,10,1276348,0.4413128963306144,0.4413128963306144,1.0,0.49718160669755296,15,0,Segment_1
West Bengal,Murshidabad,1199817,66783,1266600,10,1266600,0.43794184908926737,0.43794184908926737,1.0,0.4941476641803406,16,0,Segment_1
Uttar Pradesh,Kheri,468608,836358,1304966,9,1304966,0.45120955512758487,0.45120955512758487,0.875,0.4935885996148264,17,0,Segment_1
Uttar Pradesh,Hardoi,419996,834750,1254746,10,1254746,0.4338425062498206,0.4338425062498206,1.0,0.4904582556248386,18,0,Segment_1
Uttar Pradesh,Aligarh,311298,942498,1253796,10,1253796,0.4335139778461194,0.4335139778461194,1.0,0.49016258006150737,19,0,Segment_1
Maharashtra,Solapur,745404,496454,1241858,10,1241858,0.4293855861793979,0.4293855861793979,1.0,0.4864470275614581,20,0,Segment_1
Uttar Pradesh,Pratapgarh,604203,596075,1200278,10,1200278,0.41500641667845334,0.41500641667845334,1.0,0.473505775010608,21,0,Segment_1
West Bengal,Birbhum,1185333,94938,1280271,7,1280271,0.4426695457282143,0.4426695457282143,0.625,0.46090259115539284,22,0,Segment_1
Uttar Pradesh,Sitapur,470731,683373,1154104,10,1154104,0.39903855298108404,0.39903855298108404,1.0,0.45913469768297566,23,0,Segment_1
West Bengal,Coochbehar,1226670,6397,1233067,8,1233067,0.4263454880773584,0.4263454880773584,0.75,0.45871093926962253,24,0,Segment_1
Maharashtra,Pune,846745,298148,1144893,10,1144893,0.3958532107426713,0.3958532107426713,1.0,0.45626788966840415,25,0,Segment_1
Rajasthan,Bhilwara,705423,477272,1182695,9,1182695,0.40892587465500196,0.40892587465500196,0.875,0.45553328718950176,26,0,Segment_1
Uttar Pradesh,Jaunpur,536940,584454,1121394,10,1121394,0.387726801312592,0.387726801312592,1.0,0.4489541211813328,27,0,Segment_1
Rajasthan,Nagaur,573991,545342,1119333,10,1119333,0.3870140675862465,0.3870140675862465,1.0,0.4483126608276218,28,0,Segment_1
Maharashtra,Nashik,895050,221234,1116284,10,1116284,0.3859596643200517,0.3859596643200517,1.0,0.44736369788804653,29,0,Segment_1
Bihar,Gaya,830383,320917,1151300,9,1151300,0.3980688754611069,0.3980688754611069,0.875,0.4457619879149962,30,0,Segment_1
Gujarat,DOHAD,656223,524521,1180744,8,1180744,0.40825118105961133,0.40825118105961133,0.75,0.4424260629536502,31,0,Segment_1
Rajasthan,Barmer,905199,222727,1127926,9,1127926,0.38998569345256723,0.38998569345256723,0.875,0.4384871241073105,32,0,Segment_1
Rajasthan,Banswara,657389,361245,1018634,10,1018634,0.3521904026132878,0.3521904026132878,1.0,0.416971362351959,33,0,Segment_1
West Bengal,Medinipur East,1093499,263,1093762,8,1093762,0.3781711204167262,0.3781711204167262,0.75,0.41535400837505354,34,0,Segment_1
Jharkhand,Giridih,973869,112335,1086204,8,1086204,0.3755574176007536,0.3755574176007536,0.75,0.4130016758406782,35,0,Segment_1
Bihar,Madhubani,588709,489306,1078015,8,1078015,0.372725502760849,0.372725502760849,0.75,0.4104529524847641,36,0,Segment_1
West Bengal,Maldah,1038763,38439,1077202,8,1077202,0.3724443516111552,0.3724443516111552,0.75,0.41019991645003967,37,0,Segment_1
West Bengal,24 Paraganas South,1019495,11709,1031204,9,1031204,0.35653735212331367,0.35653735212331367,0.875,0.40838361691098235,38,0,Segment_1
Madhya Pradesh,SAGAR,744975,236093,981068,10,981068,0.33919935207282403,0.33919935207282403,1.0,0.4052794168655416,39,0,Segment_1
Uttar Pradesh,Unnao,324185,656492,980677,10,980677,0.33906413669824803,0.33906413669824803,1.0,0.40515772302842323,40,0,Segment_1
Bihar,Purnia,816498,242665,1059163,8,1059163,0.36620611595392716,0.36620611595392716,0.75,0.4045855043585344,41,0,Segment_1
Andhra Pradesh,Guntur,95927,882347,978274,10,978274,0.3382331327465701,0.3382331327465701,1.0,0.4044098194719131,42,0,Segment_1
Andhra Pradesh,Visakhapatanam,648743,318846,967589,10,967589,0.33453805275336196,0.33453805275336196,1.0,0.40108424747802573,43,0,Segment_1
Rajasthan,Bharatpur,205401,760323,965724,10,965724,0.3338930996239906,0.3338930996239906,1.0,0.4005037896615915,44,0,Segment_1
